36汽车穿越道路未确保安全,《福建省实施<中华人民共和国道路交通安全法>办法》第三十四条之规定第一款
37汽车无标线让有标线,《福建省实施<中华人民共和国道路交通安全法>办法》第三十四条之规定第二款
38汽车未按导向车道行驶,《中华人民共和国道路交通安全法实施条例》第五十一条第一项之规定
39汽车在人行横道处掉头,《中华人民共和国道路交通安全法实施条例》第四十九条第一款之规定
40汽车借道,《福建省实施<中华人民共和国道路交通安全法>办法》第三十三条之规定
41汽车车门、车厢没有关好,《中华人民共和国道路交通安全法实施条例》第六十二条第一项之规定
42汽车遇非机动车借道未减速,《中华人民共和国道路交通安全法实施条例》第七十条第二款之规定
43汽车不具备超车条件时超车,《中华人民共和国道路交通安全法》第四十三条第四项规定
44汽车货物遗洒,《中华人民共和国道路交通安全法》第四十八条第一款之规定
45汽车上坡的一方先行,《中华人民共和国道路交通安全法实施条例》第四十八条第三项之规定
46汽车教练车违法由教练员担责,《中华人民共和国道路交通安全法实施条例》第二十条之规定
47汽车未保护现场,《中华人民共和国道路交通安全法》第七十条第一款之规定
48汽车发生事故后逃逸,《道路交通事故处理程序规定》第一百一十二条第一项之规定
★★非机动车条款★★,★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
49非机动车未确保安全驾驶,《中华人民共和国道路交通安全法》第五十七条之规定
50非机动车违反交通信号,《中华人民共和国道路交通安全法》第三十八条之规定
51非机动车不按道,《中华人民共和国道路交通安全法》第三十六条之规定
52非机动车逆行,《中华人民共和国道路交通安全法》第三十五条之规定
53非机动车超车,《中华人民共和国道路交通安全法实施条例》第七十二条第四项之规定
54非机动车追尾,《福建省实施<中华人民共和国道路交通安全法>办法》第三十九条第三项之规定
55非机动车转弯让直行（无灯控）,《中华人民共和国道路交通安全法实施条例》第六十八条第一项、第六十九条
56非机动车闯红灯,《中华人民共和国道路交通安全法实施条例》第三十八条第三项之规定
57非机动车未下车推行,《中华人民共和国道路交通安全法实施条例》第七十条第一款之规定
58非机动车在与行人混行的道路上未避让行人,《福建省实施<中华人民共和国道路交通安全法>办法》第三十九条第三项之规定
59非机动车未保持左右车距,《福建省实施<中华人民共和国道路交通安全法>办法》第三十九条第三项之规定
60非机动车未从人行横道横过道路,《中华人民共和国道路交通安全法实施条例》第七十条第一款之规定
61非机动车横过道路未确保安全,《中华人民共和国道路交通安全法实施条例》第七十条第一款之规定
62非机动车未确保安全通行（无交通信号）,《中华人民共和国道路交通安全法》第三十八条之规定
63非机动车猛拐,《中华人民共和国道路交通安全法实施条例》第七十二条第四项规定
64非机动车醉驾,《中华人民共和国道路交通安全法实施条例》第七十二条第三项之规定
65非机动车手中持物,《中华人民共和国道路交通安全法实施条例》第七十二条第五项之规定
66非机动车红灯未在路口以外等候,《中华人民共和国道路交通安全法实施条例》第六十八条第四项之规定
67非机动车未让右,《中华人民共和国道路交通安全法实施条例》第六十九条第二项之规定
68非机动车电动车载物未捆扎牢固,《福建省非机动车管理办法》第三十一条第一款第六项之规定
69非机动车电动车载人（16岁以下）,《福建省非机动车管理办法》第三十一条第一款第二项之规定
70非机动车违停（非机动车）,《中华人民共和国道路交通安全法》第五十九条之规定
71非机动车未靠右（无非机动车道）,《中华人民共和国道路交通安全法》第五十七条之规定
72非机动车未满16周岁驾驶电动自行车,《福建省非机动车管理办法》第三十一条第一款之规定
73行人未走人行道,《中华人民共和国道路交通安全法》第六十一条之规定
74行人未靠路边行走（无人行道）,《中华人民共和国道路交通安全法》第六十一条之规定
75行人妨碍交通安全,《中华人民共和国道路交通安全法》第六十三条之规定
76行人在车行道内停留,《中华人民共和国道路交通安全法实施条例》第七十四条之规定
77行人未走人行横道横过道路,《中华人民共和国道路交通安全法实施条例》第七十五条之规定
78行人妨碍道路交通安全,《中华人民共和国道路交通安全法实施条例》第七十四条第三项之规定
79行人未确保安全通行,《中华人民共和国道路交通安全法》第三十八条之规定
80行人监护人,《中华人民共和国道路交通安全法》第六十四条之规定
81行人施工方责任,《中华人民共和国道路交通安全法实施条例》第三十五条第一款之规定
